latitude,longitude,fault_line_nearby,tectonic_plate
38.848331451416,-122.966003417969,No,Eurasian Plate
60.4297,-151.9809,No,North American Plate
19.38450050354,-155.281173706055,No,Eurasian Plate
36.14767838,-98.30659485,Yes,Pacific Plate
46.2071647644043,-122.18283081054688,Yes,Eurasian Plate
35.6201667,-117.6058333,No,North American Plate
38.7490005493164,-122.71216583252,No,Juan de Fuca Plate
34.1466667,-117.576,Yes,North American Plate
38.7869987487793,-122.767669677734,No,Pacific Plate
38.7898330688477,-122.820999145508,Yes,Juan de Fuca Plate
34.0181667,-117.2348333,No,North American Plate
38.8380012512207,-122.876998901367,Yes,North American Plate
32.9401667,-116.3348333,No,Juan de Fuca Plate
62.1708,-152.1327,No,Eurasian Plate
38.8366661071777,-122.800666809082,No,North American Plate
33.8481667,-116.6791667,Yes,Pacific Plate
38.5926666259766,-122.793830871582,Yes,Eurasian Plate
34.0304985,-117.0961685,No,North American Plate
38.7986679077148,-122.768333435059,Yes,Juan de Fuca Plate
-32.4163,-70.865,Yes,North American Plate
33.8081667,-117.6396667,No,Eurasian Plate
38.8014984130859,-122.814834594727,Yes,Eurasian Plate
61.4892,-150.0105,Yes,Juan de Fuca Plate
19.1615009307861,-155.489837646484,Yes,Juan de Fuca Plate
60.848,-151.6169,No,Juan de Fuca Plate
59.9814,-140.9557,Yes,Eurasian Plate
26.8191,140.3034,Yes,Eurasian Plate
63.4857,-148.4173,No,Juan de Fuca Plate
64.915,-147.7454,No,Pacific Plate
19.3806666666667,-155.237666666667,Yes,Eurasian Plate
19.3795,-155.239,Yes,Pacific Plate
38.8061676025391,-122.779335021973,Yes,Juan de Fuca Plate
61.5161,-149.9059,Yes,Juan de Fuca Plate
38.8349990844727,-122.882331848145,No,North American Plate
61.4877,-149.9201,No,Juan de Fuca Plate
17.8408333333333,-64.9301666666667,No,North American Plate
39.5035,-119.4891,Yes,Eurasian Plate
-31.812,-178.501,Yes,North American Plate
57.2373,-153.7811,No,Pacific Plate
63.3419,-149.3207,No,North American Plate
-49.3754,30.2769,No,Pacific Plate
36.7702,-116.268,No,Pacific Plate
32.4481667,-115.1878333,Yes,Juan de Fuca Plate
38.8368339538574,-122.794166564941,No,Pacific Plate
60.0058333333333,-153.083,Yes,Eurasian Plate
38.7958335876465,-122.765998840332,Yes,Juan de Fuca Plate
19.1458339691162,-155.489669799805,No,Pacific Plate
60.2656,-138.3264,Yes,Pacific Plate
60.1758,-150.8125,Yes,Eurasian Plate
62.7789,-150.5405,No,Juan de Fuca Plate
36.1240005493164,-120.69416809082,Yes,Pacific Plate
37.6456680297852,-119.038330078125,Yes,North American Plate
61.8118,-147.5337,No,Juan de Fuca Plate
53.9166666666667,-166.3735,No,Eurasian Plate
37.0336,-116.2165,No,Pacific Plate
19.394832611084,-155.27766418457,Yes,Eurasian Plate
61.5032,-150.5887,No,Pacific Plate
19.3959999084473,-155.270004272461,No,Eurasian Plate
19.3941669464111,-155.253997802734,Yes,North American Plate
17.9918333333333,-66.7973333333333,Yes,Pacific Plate
61.7956,-149.6592,Yes,Juan de Fuca Plate
40.5248336791992,-124.41300201416,No,Eurasian Plate
19.2893333435059,-155.371505737305,Yes,Pacific Plate
53.9026666666667,-166.414166666667,Yes,Eurasian Plate
52.8736666666667,-169.809833333333,No,Eurasian Plate
52.7866666666667,-169.851666666667,No,Eurasian Plate
64.5356,-149.2355,No,Pacific Plate
55.0483333333333,-162.235166666667,No,North American Plate
61.293,-152.2173,Yes,Pacific Plate
46.5295,-122.9675,No,North American Plate
51.92,-177.23,No,Eurasian Plate
17.9053333333333,-66.9421666666667,Yes,North American Plate
59.7265,-152.7255,Yes,Juan de Fuca Plate
-17.9261,-174.9645,Yes,Pacific Plate
37.0251,-116.2189,No,Juan de Fuca Plate
64.7853,-149.0222,No,Juan de Fuca Plate
64.9798,-147.3785,Yes,Pacific Plate
55.0458333333333,-162.232666666667,Yes,Eurasian Plate
55.0378333333333,-162.247166666667,No,Eurasian Plate
58.2691666666667,-155.114,Yes,North American Plate
55.0475,-162.2365,Yes,Pacific Plate
33.534,-116.4396667,No,Pacific Plate
19.3816666666667,-155.241,No,Eurasian Plate
57.4714,-155.1212,Yes,Juan de Fuca Plate
36.6865005493164,-121.372329711914,No,Juan de Fuca Plate
35.9936667,-117.6881667,Yes,North American Plate
19.1821666666667,-66.5855,Yes,Pacific Plate
38.8455009460449,-122.825668334961,No,North American Plate
38.8248329162598,-122.80883026123,Yes,Juan de Fuca Plate
19.1700000762939,-155.488830566406,Yes,Pacific Plate
59.7536,-150.754,Yes,Juan de Fuca Plate
